med_type_old,drug_std,med_type,broad_cat,drug_class,label,who_status
,atazanavir,antiviral antiretrovirals,Antivirals (Antiretrovirals),HIV antiretrovirals,Antivirals (Antiretrovirals),not_addressed_trial_only
miscellaneous other,ati-450,miscellaneous other,Immunotherapies (kinase inhibitor),Other TK / multi‑kinase inhibitors,Immunotherapy (Other kinases),not_addressed_trial_only
,atorvastatin,miscellaneous other,Metabolic / cardiometabolic agents,Statins,Metabolic agents (Statins),not_recommended
miscellaneous other,atorvastatin,miscellaneous other,Metabolic / cardiometabolic agents,Statins,Metabolic agents (Statins),not_recommended
antimalarial,atovaquone,antimalarial,Antiparasitics,Macrocyclic lactones,Antiparasitics,not_addressed_trial_only
,atracurium,,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
nonspecific anti-inflammatory and immunosuppressive drugs,auxora,nonspecific anti-inflammatory and immunosuppressive drugs,Immunotherapies (other immunomodulators),Innate immune modulators and others,Immunotherapy (Innate/Other),not_addressed_trial_only
,auxora,nonspecific anti-inflammatory and immunosuppressive drugs,Immunotherapies (other immunomodulators),Innate immune modulators and others,Immunotherapy (Innate/Other),not_addressed_trial_only
others,aviptadil,others,Adjuvant / Supportive,Respiratory & hemodynamic support,Respiratory/Hemodynamic Support,not_addressed_trial_only
miscellaneous other,aviptadil,others,Adjuvant / Supportive,Respiratory & hemodynamic support,Respiratory/Hemodynamic Support,not_addressed_trial_only
,aviptadil,others,Adjuvant / Supportive,Respiratory & hemodynamic support,Respiratory/Hemodynamic Support,not_addressed_trial_only
miscellaneous other,azd-1656,miscellaneous other,Metabolic / cardiometabolic agents,Metabolic / cardiometabolic agents,Metabolic agents (Other),not_addressed_trial_only
,azd1061,monoclonal antibodies,Immunotherapies (antibody based),Anti‑spike monoclonal antibodies,Immunotherapy (Anti-spike mAbs),not_recommended
monoclonal antibodies,azd1061,monoclonal antibodies,Immunotherapies (antibody based),Anti‑spike monoclonal antibodies,Immunotherapy (Anti-spike mAbs),not_recommended
other antiviral,azd1222,other antiviral,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
,azd7442,,Immunotherapies (antibody based),Anti‑spike monoclonal antibodies,Immunotherapy (Anti-spike mAbs),not_recommended
,azd8895,monoclonal antibodies,Immunotherapies (antibody based),Anti‑spike monoclonal antibodies,Immunotherapy (Anti-spike mAbs),not_recommended
monoclonal antibodies,azd8895,monoclonal antibodies,Immunotherapies (antibody based),Anti‑spike monoclonal antibodies,Immunotherapy (Anti-spike mAbs),not_recommended
antibiotics and antiparasitics,azithromycin,antibiotics and antiparasitics,Antiparasitics/Antibiotics,Macrolides / repurposed anti‑infectives,Antiparasitics/Antibiotics,not_addressed_trial_only
antibiotics and antiparasitics,azithromycin,antibiotics and antiparasitics,Antiparasitics/Antibiotics,Macrolides / repurposed anti‑infectives,Antiparasitics/Antibiotics,not_addressed_trial_only
immunosuppressive drugs,azoximer bromide,immunosuppressive drugs,Immunotherapies (other immunomodulators),Innate immune modulators and others,Immunotherapy (Innate/Other),not_addressed_trial_only
other antiviral,azvudine,other antiviral,Antivirals (direct acting),RdRp inhibitors,Antivirals (Direct-acting),not_addressed_trial_only
,azvudine,other antiviral,Antivirals (direct acting),RdRp inhibitors,Antivirals (Direct-acting),not_addressed_trial_only
,bamlanivimab,monoclonal antibodies,Immunotherapies (antibody based),Anti‑spike monoclonal antibodies,Immunotherapy (Anti-spike mAbs),not_recommended
monoclonal antibodies,bamlanivimab,monoclonal antibodies,Immunotherapies (antibody based),Anti‑spike monoclonal antibodies,Immunotherapy (Anti-spike mAbs),not_recommended
miscellaneous other,bamlanivimab,monoclonal antibodies,Immunotherapies (antibody based),Anti‑spike monoclonal antibodies,Immunotherapy (Anti-spike mAbs),not_recommended
miscellaneous other,bardoxolone methyl,miscellaneous other,Immunotherapies (other immunomodulators),Small‑molecule immunosuppressants / DMARDs,Immunotherapy (Small molecule),not_addressed_trial_only
kinase inhibitors,baricitinib,kinase inhibitors,Immunotherapies (kinase inhibitor),JAK inhibitors,Immunotherapy (JAK inhibitors),recommended
,baricitinib,kinase inhibitors,Immunotherapies (kinase inhibitor),JAK inhibitors,Immunotherapy (JAK inhibitors),recommended
immunosuppressive drugs,bdb001,immunosuppressive drugs,Immunotherapies (other immunomodulators),Innate immune modulators and others,Immunotherapy (Innate/Other),not_addressed_trial_only
monoclonal antibodies,bemcentinib,monoclonal antibodies,Immunotherapies (kinase inhibitor),Other TK / multi‑kinase inhibitors,Immunotherapy (Other kinases),not_addressed_trial_only
,bemiparin,miscellaneous other,Anticoagulants,Heparin anticoagulants,Anticoagulants (Heparins),not_addressed_trial_only
miscellaneous other,bemiparin,miscellaneous other,Anticoagulants,Heparin anticoagulants,Anticoagulants (Heparins),not_addressed_trial_only
others,bemnifosbuvir,others,Antivirals (direct acting),RdRp inhibitors,Antivirals (Direct-acting),not_addressed_trial_only
miscellaneous other,berberine,miscellaneous other,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
others,beta blocker,others,Metabolic / cardiometabolic agents,Metabolic / cardiometabolic agents,Metabolic agents (Other),not_addressed_trial_only
antiviral not specified,beta-cyclodextrin,antiviral not specified,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
nonspecific anti-inflammatory and immunosuppressive drugs,betamethasone,nonspecific anti-inflammatory and immunosuppressive drugs,Immunotherapies (corticosteroids),Systemic corticosteroids,Corticosteroids (Systemic),not_addressed_trial_only
,betamethasone,nonspecific anti-inflammatory and immunosuppressive drugs,Immunotherapies (corticosteroids),Systemic corticosteroids,Corticosteroids (Systemic),not_addressed_trial_only
monoclonal antibodies,bevacizumab,monoclonal antibodies,Immunotherapies (other immunomodulators),Biologic cytokine / receptor blockers,Immunotherapy (Other biologics),not_addressed_trial_only
,bevacizumab,monoclonal antibodies,Immunotherapies (other immunomodulators),Biologic cytokine / receptor blockers,Immunotherapy (Other biologics),not_addressed_trial_only
,bgp-15,,Metabolic / cardiometabolic agents,Metabolic / cardiometabolic agents,Metabolic agents (Other),not_addressed_trial_only
miscellaneous other,bio 300,miscellaneous other,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
others,bisphosphonate,others,Metabolic / cardiometabolic agents,Metabolic / cardiometabolic agents,Metabolic agents (Other),not_addressed_trial_only
miscellaneous other,bivalirudin,miscellaneous other,Anticoagulants,Non‑heparin anticoagulants / thrombolytics,Anticoagulants (Non-heparin),not_addressed_trial_only
,bivalirudin,miscellaneous other,Anticoagulants,Non‑heparin anticoagulants / thrombolytics,Anticoagulants (Non-heparin),not_addressed_trial_only
,brensocatib,,Immunotherapies (other immunomodulators),Small‑molecule immunosuppressants / DMARDs,Immunotherapy (Small molecule),not_addressed_trial_only
miscellaneous other,brequinar,miscellaneous other,Antivirals (Broad spectrum / Other),Broad‑spectrum & host‑directed antivirals,Antivirals (Broad-spectrum/Other),not_addressed_trial_only
,bromhexine,miscellaneous other,Antivirals (Broad spectrum / Other),Broad‑spectrum & host‑directed antivirals,Antivirals (Broad-spectrum/Other),not_addressed_trial_only
miscellaneous other,bromhexine,miscellaneous other,Antivirals (Broad spectrum / Other),Broad‑spectrum & host‑directed antivirals,Antivirals (Broad-spectrum/Other),not_addressed_trial_only
miscellaneous other,bromhexine hydrochloride,miscellaneous other,Antivirals (Broad spectrum / Other),Broad‑spectrum & host‑directed antivirals,Antivirals (Broad-spectrum/Other),not_addressed_trial_only
,bromhexine hydrochloride,miscellaneous other,Antivirals (Broad spectrum / Other),Broad‑spectrum & host‑directed antivirals,Antivirals (Broad-spectrum/Other),not_addressed_trial_only
,bronchodilators,,Adjuvant / Supportive,Respiratory & hemodynamic support,Respiratory/Hemodynamic Support,not_addressed_trial_only
miscellaneous other,btl-tml-covid,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
miscellaneous other,bucillamine,miscellaneous other,Immunotherapies (other immunomodulators),Small‑molecule immunosuppressants / DMARDs,Immunotherapy (Small molecule),not_addressed_trial_only
,budesonide,nonspecific anti-inflammatory and immunosuppressive drugs,Immunotherapies (corticosteroids),Inhaled corticosteroids,Corticosteroids (Inhaled),not_addressed_trial_only
nonspecific anti-inflammatory and immunosuppressive drugs,budesonide,nonspecific anti-inflammatory and immunosuppressive drugs,Immunotherapies (corticosteroids),Inhaled corticosteroids,Corticosteroids (Inhaled),not_addressed_trial_only
,budesonide formoterol fumarate,,Immunotherapies (corticosteroids),Inhaled corticosteroids,Corticosteroids (Inhaled),not_addressed_trial_only
miscellaneous other,calcifediol,miscellaneous other,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
,calcium,miscellaneous other,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
miscellaneous other,calcium,miscellaneous other,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
,camostat mesilate,miscellaneous other,Antivirals (Broad spectrum / Other),Broad‑spectrum & host‑directed antivirals,Antivirals (Broad-spectrum/Other),not_addressed_trial_only
miscellaneous other,camostat mesilate,miscellaneous other,Antivirals (Broad spectrum / Other),Broad‑spectrum & host‑directed antivirals,Antivirals (Broad-spectrum/Other),not_addressed_trial_only
monoclonal antibodies,canakinumab,monoclonal antibodies,Immunotherapies (other immunomodulators),Biologic cytokine / receptor blockers,Immunotherapy (Other biologics),not_addressed_trial_only
miscellaneous other,cannabidiol,miscellaneous other,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
miscellaneous other,captopril,miscellaneous other,Metabolic / cardiometabolic agents,Metabolic / cardiometabolic agents,Metabolic agents (Other),not_addressed_trial_only
,captopril,miscellaneous other,Metabolic / cardiometabolic agents,Metabolic / cardiometabolic agents,Metabolic agents (Other),not_addressed_trial_only
,carriomycin,,Antivirals (not specified),Macrolides / repurposed anti‑infectives,Antivirals (Broad-spectrum/Other),not_addressed_trial_only
,casirivimab,monoclonal antibodies,Immunotherapies (antibody based),Anti‑spike monoclonal antibodies,Immunotherapy (Anti-spike mAbs),not_recommended
monoclonal antibodies,casirivimab,monoclonal antibodies,Immunotherapies (antibody based),Anti‑spike monoclonal antibodies,Immunotherapy (Anti-spike mAbs),not_recommended
antibiotics and antiparasitics,ceftriaxone,antibiotics and antiparasitics,Antiparasitics/Antibiotics,Macrolides / repurposed anti‑infectives,Antiparasitics/Antibiotics,not_addressed_trial_only
,ceftriaxone,antibiotics and antiparasitics,Antiparasitics/Antibiotics,Macrolides / repurposed anti‑infectives,Antiparasitics/Antibiotics,not_addressed_trial_only
,celecoxib,,Anti‑inflammatories (NSAIDs),NSAIDs,Anti-inflammatories (NSAIDs),not_addressed_trial_only
,cepharanthine,,Antivirals (Broad spectrum / Other),Broad‑spectrum & host‑directed antivirals,Antivirals (Broad-spectrum/Other),not_addressed_trial_only
monoclonal antibodies,cerc-002,monoclonal antibodies,Immunotherapies (other immunomodulators),Innate immune modulators and others,Immunotherapy (Innate/Other),not_addressed_trial_only
,chlorhexidine,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
miscellaneous other,chlorhexidine,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
antimalarial,chloroquine,antimalarial,Antimalarials,4‑aminoquinolines and related antimalarials,Antimalarials,not_recommended
,chloroquine,antimalarial,Antimalarials,4‑aminoquinolines and related antimalarials,Antimalarials,not_recommended
,chlorpheniramine maleate,,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
miscellaneous other,chlorpromazine,miscellaneous other,Anti-depressants,SSRI / Sigma‑1 agonist,Anti-depressants,not_addressed_trial_only
,ciclesonide,nonspecific anti-inflammatory and immunosuppressive drugs,Immunotherapies (corticosteroids),Inhaled corticosteroids,Corticosteroids (Inhaled),not_addressed_trial_only
nonspecific anti-inflammatory and immunosuppressive drugs,ciclesonide,nonspecific anti-inflammatory and immunosuppressive drugs,Immunotherapies (corticosteroids),Inhaled corticosteroids,Corticosteroids (Inhaled),not_addressed_trial_only
miscellaneous other,ciclesonide,nonspecific anti-inflammatory and immunosuppressive drugs,Immunotherapies (corticosteroids),Inhaled corticosteroids,Corticosteroids (Inhaled),not_addressed_trial_only
kinase inhibitors,cigb-258 peptide,kinase inhibitors,Immunotherapies (other immunomodulators),Innate immune modulators and others,Immunotherapy (Innate/Other),not_addressed_trial_only
kinase inhibitors,cigb-325,kinase inhibitors,Immunotherapies (other immunomodulators),Innate immune modulators and others,Immunotherapy (Innate/Other),not_addressed_trial_only
,cilgavimab,,Immunotherapies (antibody based),Anti‑spike monoclonal antibodies,Immunotherapy (Anti-spike mAbs),not_recommended
miscellaneous other,cimetidine,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
miscellaneous other,citrulline,miscellaneous other,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
antibiotics and antiparasitics,clarithromycin,antibiotics and antiparasitics,Antiparasitics/Antibiotics,Macrolides / repurposed anti‑infectives,Antiparasitics/Antibiotics,not_addressed_trial_only
antibiotics and antiparasitics,clavulanic acid,antibiotics and antiparasitics,Antiparasitics/Antibiotics,Macrolides / repurposed anti‑infectives,Antiparasitics/Antibiotics,not_addressed_trial_only
monoclonal antibodies,clazakizumab,monoclonal antibodies,Immunotherapies (other immunomodulators),Biologic cytokine / receptor blockers,Immunotherapy (Other biologics),not_addressed_trial_only
,clopidogrel,miscellaneous other,Anticoagulants,Non‑heparin anticoagulants / thrombolytics,Anticoagulants (Non-heparin),not_addressed_trial_only
miscellaneous other,clopidogrel,miscellaneous other,Anticoagulants,Non‑heparin anticoagulants / thrombolytics,Anticoagulants (Non-heparin),not_addressed_trial_only
miscellaneous other,colchicine,miscellaneous other,Anti‑inflammatories (non‑NSAID),Microtubule inhibitor anti‑inflammatory,Anti-inflammatories (Non-NSAID),not_recommended
,colchicine,miscellaneous other,Anti‑inflammatories (non‑NSAID),Microtubule inhibitor anti‑inflammatory,Anti-inflammatories (Non-NSAID),not_recommended
others,coroquard,others,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
others,corostop solution,others,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
,corticosteroids,nonspecific anti-inflammatory and immunosuppressive drugs,Immunotherapies (corticosteroids),Systemic corticosteroids,Corticosteroids (Systemic),recommended
nonspecific anti-inflammatory and immunosuppressive drugs,corticosteroids,nonspecific anti-inflammatory and immunosuppressive drugs,Immunotherapies (corticosteroids),Systemic corticosteroids,Corticosteroids (Systemic),recommended
,crizanlizumab,monoclonal antibodies,Immunotherapies (other immunomodulators),Biologic cytokine / receptor blockers,Immunotherapy (Other biologics),not_addressed_trial_only
monoclonal antibodies,crizanlizumab,monoclonal antibodies,Immunotherapies (other immunomodulators),Biologic cytokine / receptor blockers,Immunotherapy (Other biologics),not_addressed_trial_only
,ct-p59,monoclonal antibodies,Immunotherapies (antibody based),Anti‑spike monoclonal antibodies,Immunotherapy (Anti-spike mAbs),not_recommended
monoclonal antibodies,ct-p59,monoclonal antibodies,Immunotherapies (antibody based),Anti‑spike monoclonal antibodies,Immunotherapy (Anti-spike mAbs),not_recommended
immunosuppressive drugs,cyclosporin,immunosuppressive drugs,Immunotherapies (other immunomodulators),Small‑molecule immunosuppressants / DMARDs,Immunotherapy (Small molecule),not_addressed_trial_only
,cyclosporin,immunosuppressive drugs,Immunotherapies (other immunomodulators),Small‑molecule immunosuppressants / DMARDs,Immunotherapy (Small molecule),not_addressed_trial_only
other antiviral,daclatasvir,other antiviral,Antivirals (direct acting),RdRp inhibitors,Antivirals (Direct-acting),not_addressed_trial_only
,dalteparin,miscellaneous other,Anticoagulants,Heparin anticoagulants,Anticoagulants (Heparins),recommended
miscellaneous other,dalteparin,miscellaneous other,Anticoagulants,Heparin anticoagulants,Anticoagulants (Heparins),recommended
miscellaneous other,dapagliflozin,miscellaneous other,Metabolic / cardiometabolic agents,SGLT‑2 inhibitors,Metabolic agents (SGLT-2 inhibitors),not_recommended
,dapagliflozin,miscellaneous other,Metabolic / cardiometabolic agents,SGLT‑2 inhibitors,Metabolic agents (SGLT-2 inhibitors),not_recommended
nonspecific anti-inflammatory and immunosuppressive drugs,dapansutrile,nonspecific anti-inflammatory and immunosuppressive drugs,Uncategorized/Other,Uncategorized/Other,Other/Uncategorized,not_addressed_trial_only
antiviral antiretrovirals,darunavir,antiviral antiretrovirals,Antivirals (Antiretrovirals),HIV antiretrovirals,Antivirals (Antiretrovirals),not_addressed_trial_only
,darunavir,antiviral antiretrovirals,Antivirals (Antiretrovirals),HIV antiretrovirals,Antivirals (Antiretrovirals),not_addressed_trial_only
miscellaneous other,decitabine,miscellaneous other,Antivirals (Broad spectrum / Other),Broad‑spectrum & host‑directed antivirals,Antivirals (Broad-spectrum/Other),not_addressed_trial_only
miscellaneous other,decosalin,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
miscellaneous other,deferiprone,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
miscellaneous other,deferoxamine,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
miscellaneous other,defibrotide sodium,miscellaneous other,Anticoagulants,Non‑heparin anticoagulants / thrombolytics,Anticoagulants (Non-heparin),not_addressed_trial_only
others,defibrotide sodium,miscellaneous other,Anticoagulants,Non‑heparin anticoagulants / thrombolytics,Anticoagulants (Non-heparin),not_addressed_trial_only
miscellaneous other,degarelix,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
miscellaneous other,desidustat,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
,dexamethasone,nonspecific anti-inflammatory and immunosuppressive drugs,Immunotherapies (corticosteroids),Systemic corticosteroids,Corticosteroids (Systemic),recommended
nonspecific anti-inflammatory and immunosuppressive drugs,dexamethasone,nonspecific anti-inflammatory and immunosuppressive drugs,Immunotherapies (corticosteroids),Systemic corticosteroids,Corticosteroids (Systemic),recommended
,dexmedetomidine,,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
